                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.71036,                 0.3553,                0.98469,                0.91893,                0.88052,                0.94839,                0.74766,                0.79693,                 0.4096,                 1.0674,                0.00604,                0.00604,                0.00604
                    123,                0.70389,                0.35318,                0.98028,                0.91124,                0.88559,                0.94545,                0.74801,                0.79837,                0.41165,                 1.0722,               0.006007,               0.006007,               0.006007
                    124,                0.70608,                0.35483,                0.98139,                0.90663,                0.88795,                0.94463,                0.74432,                 0.8024,                0.40887,                 1.0777,               0.005974,               0.005974,               0.005974
                    125,                0.70269,                0.35261,                 0.9838,                0.91984,                0.87518,                0.94632,                0.74746,                0.80094,                0.41151,                 1.0797,               0.005941,               0.005941,               0.005941
                    126,                0.70788,                0.35443,                0.98271,                 0.8921,                0.90019,                0.94595,                0.74373,                0.79962,                0.40402,                 1.0789,               0.005908,               0.005908,               0.005908
                    127,                0.70497,                0.35338,                0.98312,                0.90345,                 0.9016,                0.95062,                0.75143,                0.79092,                0.40088,                 1.0705,               0.005875,               0.005875,               0.005875
                    128,                0.69808,                0.35166,                0.98159,                0.90324,                0.89501,                0.94989,                0.74705,                0.79682,                0.41157,                 1.0742,               0.005842,               0.005842,               0.005842
                    129,                0.70939,                0.35458,                0.97825,                0.91039,                0.89266,                0.94986,                0.75026,                0.80188,                0.40538,                 1.0757,               0.005809,               0.005809,               0.005809
                    130,                0.69796,                 0.3525,                0.97844,                0.91147,                 0.8936,                0.95043,                0.75008,                0.79755,                0.40207,                 1.0722,               0.005776,               0.005776,               0.005776
                    131,                0.70087,                 0.3513,                 0.9813,                0.89412,                0.90254,                0.95026,                0.74881,                0.79822,                0.40645,                  1.075,               0.005743,               0.005743,               0.005743
                    132,                0.69423,                0.34928,                0.98191,                0.90655,                0.88324,                0.94614,                0.74443,                0.79559,                0.41768,                 1.0737,                0.00571,                0.00571,                0.00571
                    133,                0.69338,                0.34704,                0.97702,                0.89566,                0.89719,                0.94803,                0.74959,                0.79687,                0.41022,                 1.0723,               0.005677,               0.005677,               0.005677
                    134,                0.69024,                0.34561,                0.97643,                0.89755,                0.89508,                 0.9479,                0.74778,                0.79839,                0.40807,                 1.0778,               0.005644,               0.005644,               0.005644
                    135,                0.68722,                0.34127,                0.97703,                0.90734,                0.90364,                0.95089,                0.74795,                0.79817,                0.40751,                 1.0787,               0.005611,               0.005611,               0.005611
                    136,                 0.6939,                0.34662,                0.97441,                0.91527,                   0.89,                0.95099,                0.74738,                0.80153,                0.40612,                 1.0776,               0.005578,               0.005578,               0.005578
                    137,                 0.6852,                0.34342,                0.97105,                0.89841,                0.89407,                0.94912,                0.74887,                0.79329,                0.40533,                 1.0742,               0.005545,               0.005545,               0.005545
                    138,                0.68978,                0.34473,                 0.9763,                 0.8976,                0.89553,                 0.9475,                0.74846,                0.79414,                0.41194,                 1.0731,               0.005512,               0.005512,               0.005512
                    139,                0.69194,                0.34392,                0.97127,                0.91351,                0.89512,                0.95291,                0.75004,                0.79587,                0.40279,                 1.0751,               0.005479,               0.005479,               0.005479
                    140,                0.68308,                0.34521,                0.97305,                0.91465,                0.88512,                0.94999,                0.74858,                 0.7987,                0.41076,                 1.0765,               0.005446,               0.005446,               0.005446
                    141,                 0.6803,                0.34028,                 0.9719,                0.90328,                0.89454,                0.95084,                0.74992,                 0.7982,                0.39871,                 1.0743,               0.005413,               0.005413,               0.005413
                    142,                 0.6777,                0.33896,                0.97064,                0.90401,                0.89126,                0.94851,                0.74719,                0.79858,                0.41629,                  1.075,                0.00538,                0.00538,                0.00538
